test_match_cond,speaker_identity,trial_sequence_total,list_number,phase,condition,Answer.time_in_minutes,wrong_attempts,block_sequence,workerid,item_number,island_tested,response,Answer.condition,comp_question_exist,first_response_value,comp_answer
mismatch,Emily,31,1,exposure,FILL,15.5312,,11,2,108,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,32,1,exposure,UNGRAM,15.5312,,11,2,123,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,33,1,exposure,CNPC,15.5312,,11,2,22,CNPC,0.23,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,34,1,exposure,UNGRAM,15.5312,,12,2,126,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,35,1,exposure,CNPC,15.5312,,12,2,31,CNPC,0.63,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,36,1,exposure,FILL,15.5312,,12,2,111,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,37,1,exposure,UNGRAM,15.5312,,13,2,130,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,38,1,exposure,CNPC,15.5312,,13,2,43,CNPC,0.32,undefined,1,,Thomas
,,,,,,,,,,,,,,,,
mismatch,Emily,39,1,exposure,FILL,15.5312,,13,2,115,CNPC,1,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,40,1,exposure,UNGRAM,15.5312,,14,2,122,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,41,1,exposure,CNPC,15.5312,,14,2,19,CNPC,0.12,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,42,1,exposure,FILL,15.5312,,14,2,107,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Emily,43,1,exposure,FILL,15.5312,,15,2,112,CNPC,1,undefined,1,,Emily
,,,,,,,,,,,,,,,,
mismatch,Thomas,44,1,exposure,CNPC,15.5312,,15,2,34,CNPC,0.08,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,45,1,exposure,UNGRAM,15.5312,,15,2,127,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Thomas,46,2,test,FILL,15.5312,,101,2,133,CNPC,1,undefined,0,,/
,,,,,,,,,,,,,,,,
mismatch,Iron-Head,47,2,test,UNGRAM,15.5312,,101,2,142,CNPC,0,undefined,0,,/
,,,,,,,,,,,,,,,,
